tool_name,category,result
Bkav,"undetected",null
Lionic,"undetected",null
tehtris,"undetected",null
DrWeb,"timeout",null
MicroWorld-eScan,"undetected",null
FireEye,"undetected",null
CAT-QuickHeal,"undetected",null
ALYac,"undetected",null
Malwarebytes,"undetected",null
VIPRE,"undetected",null
Sangfor,"undetected",null
K7AntiVirus,"undetected",null
Alibaba,"undetected",null
K7GW,"undetected",null
Cybereason,"undetected",null
Baidu,"undetected",null
VirIT,"undetected",null
Cyren,"undetected",null
SymantecMobileInsight,"type-unsupported",null
Symantec,"undetected",null
Elastic,"type-unsupported",null
ESET-NOD32,"undetected",null
Cynet,"type-unsupported",null
APEX,"undetected",null
Paloalto,"undetected",null
ClamAV,"undetected",null
Kaspersky,"timeout",null
BitDefender,"undetected",null
NANO-Antivirus,"undetected",null
SUPERAntiSpyware,"undetected",null
Avast,"timeout",null
Rising,"timeout",null
Trustlook,"type-unsupported",null
Sophos,"undetected",null
F-Secure,"undetected",null
BitDefenderTheta,"undetected",null
Zillya,"undetected",null
TrendMicro,"undetected",null
McAfee-GW-Edition,"undetected",null
Trapmine,"undetected",null
CMC,"undetected",null
Emsisoft,"undetected",null
SentinelOne,"undetected",null
GData,"undetected",null
Jiangmin,"undetected",null
Webroot,"undetected",null
Avira,"undetected",null
MAX,"undetected",null
Antiy-AVL,"undetected",null
Gridinsoft,"undetected",null
Xcitium,"undetected",null
Arcabit,"undetected",null
ViRobot,"undetected",null
ZoneAlarm,"timeout",null
Avast-Mobile,"type-unsupported",null
Microsoft,"undetected",null
Google,"undetected",null
BitDefenderFalx,"type-unsupported",null
AhnLab-V3,"undetected",null
Acronis,"undetected",null
McAfee,"undetected",null
TACHYON,"undetected",null
DeepInstinct,"undetected",null
VBA32,"undetected",null
Cylance,"confirmed-timeout",null
Zoner,"undetected",null
TrendMicro-HouseCall,"undetected",null
Tencent,"undetected",null
Yandex,"undetected",null
Ikarus,"undetected",null
MaxSecure,"undetected",null
Fortinet,"undetected",null
AVG,"timeout",null
Panda,"undetected",null
CrowdStrike,"undetected",null
