tool_name,category,result
Bkav,"undetected",null
Lionic,"undetected",null
Elastic,"type-unsupported",null
MicroWorld-eScan,"undetected",null
ClamAV,"undetected",null
FireEye,"undetected",null
CAT-QuickHeal,"undetected",null
ALYac,"undetected",null
Malwarebytes,"undetected",null
VIPRE,"undetected",null
Paloalto,"type-unsupported",null
Sangfor,"undetected",null
Trustlook,"undetected",null
Alibaba,"undetected",null
K7GW,"malicious","Trojan ( 0001140e1 )"
K7AntiVirus,"undetected",null
Arcabit,"undetected",null
BitDefenderTheta,"undetected",null
VirIT,"undetected",null
Cyren,"undetected",null
SymantecMobileInsight,"malicious","AdLibrary:Generisk"
Symantec,"undetected",null
tehtris,"type-unsupported",null
ESET-NOD32,"undetected",null
APEX,"type-unsupported",null
TrendMicro-HouseCall,"undetected",null
Avast,"undetected",null
Cynet,"malicious","Malicious (score: 99)"
Kaspersky,"undetected",null
BitDefender,"undetected",null
NANO-Antivirus,"undetected",null
SUPERAntiSpyware,"undetected",null
Tencent,"undetected",null
Emsisoft,"undetected",null
Baidu,"undetected",null
F-Secure,"malicious","Malware.ANDROID/TestPaloAlto.FHYW.Gen"
DrWeb,"undetected",null
Zillya,"undetected",null
TrendMicro,"undetected",null
McAfee-GW-Edition,"malicious","Artemis"
SentinelOne,"type-unsupported",null
Trapmine,"type-unsupported",null
CMC,"undetected",null
Sophos,"undetected",null
Ikarus,"undetected",null
Avast-Mobile,"undetected",null
Jiangmin,"undetected",null
Webroot,"type-unsupported",null
Avira,"malicious","ANDROID/TestPaloAlto.FHYW.Gen"
Antiy-AVL,"undetected",null
Gridinsoft,"undetected",null
Xcitium,"undetected",null
Microsoft,"undetected",null
ViRobot,"undetected",null
ZoneAlarm,"undetected",null
GData,"undetected",null
Google,"undetected",null
BitDefenderFalx,"undetected",null
AhnLab-V3,"undetected",null
Acronis,"undetected",null
McAfee,"malicious","Artemis!6F1D75A84D33"
MAX,"undetected",null
DeepInstinct,"type-unsupported",null
VBA32,"undetected",null
Cylance,"type-unsupported",null
Zoner,"undetected",null
Rising,"undetected",null
Yandex,"undetected",null
TACHYON,"undetected",null
MaxSecure,"undetected",null
Fortinet,"malicious","Android/PaloAlto_Test_Apk_File"
AVG,"undetected",null
Cybereason,"type-unsupported",null
Panda,"undetected",null
CrowdStrike,"type-unsupported",null
