tool_name,category,result
Bkav,"undetected",null
Lionic,"undetected",null
Elastic,"type-unsupported",null
ClamAV,"undetected",null
CMC,"undetected",null
CAT-QuickHeal,"undetected",null
ALYac,"undetected",null
Malwarebytes,"undetected",null
Zillya,"undetected",null
Sangfor,"undetected",null
K7AntiVirus,"undetected",null
Alibaba,"type-unsupported",null
K7GW,"undetected",null
Cybereason,"type-unsupported",null
BitDefenderTheta,"undetected",null
VirIT,"undetected",null
Cyren,"undetected",null
SymantecMobileInsight,"type-unsupported",null
Symantec,"undetected",null
tehtris,"type-unsupported",null
ESET-NOD32,"undetected",null
APEX,"type-unsupported",null
TrendMicro-HouseCall,"undetected",null
Avast,"undetected",null
Cynet,"undetected",null
Kaspersky,"undetected",null
BitDefender,"undetected",null
NANO-Antivirus,"undetected",null
ViRobot,"undetected",null
MicroWorld-eScan,"undetected",null
Rising,"undetected",null
Trustlook,"type-unsupported",null
Emsisoft,"undetected",null
Baidu,"undetected",null
F-Secure,"undetected",null
DrWeb,"undetected",null
VIPRE,"undetected",null
TrendMicro,"undetected",null
McAfee-GW-Edition,"undetected",null
SentinelOne,"type-unsupported",null
Trapmine,"type-unsupported",null
FireEye,"undetected",null
Sophos,"undetected",null
Paloalto,"type-unsupported",null
Avast-Mobile,"type-unsupported",null
Jiangmin,"undetected",null
Webroot,"type-unsupported",null
Avira,"undetected",null
MAX,"undetected",null
Antiy-AVL,"undetected",null
Microsoft,"undetected",null
Gridinsoft,"undetected",null
Xcitium,"undetected",null
Arcabit,"undetected",null
SUPERAntiSpyware,"undetected",null
ZoneAlarm,"undetected",null
GData,"undetected",null
Google,"undetected",null
BitDefenderFalx,"type-unsupported",null
AhnLab-V3,"undetected",null
Acronis,"undetected",null
McAfee,"undetected",null
TACHYON,"undetected",null
DeepInstinct,"type-unsupported",null
VBA32,"undetected",null
Cylance,"type-unsupported",null
Zoner,"undetected",null
Tencent,"undetected",null
Yandex,"undetected",null
Ikarus,"undetected",null
MaxSecure,"undetected",null
Fortinet,"undetected",null
AVG,"undetected",null
Panda,"undetected",null
CrowdStrike,"type-unsupported",null
