tool_name,category,result
Bkav,"undetected","unrated"
CMC Threat Intelligence,"undetected","unrated"
Snort IP sample list,"undetected","unrated"
0xSI_f33d,"undetected","unrated"
ViriBack,"undetected","unrated"
PhishLabs,"undetected","unrated"
K7AntiVirus,"undetected","unrated"
CINS Army,"undetected","unrated"
Quttera,"undetected","unrated"
PrecisionSec,"undetected","unrated"
OpenPhish,"undetected","unrated"
VX Vault,"undetected","unrated"
ADMINUSLabs,"undetected","unrated"
Scantitan,"undetected","unrated"
AlienVault,"undetected","unrated"
Sophos,"undetected","unrated"
Phishtank,"undetected","unrated"
ESTsecurity,"undetected","unrated"
SecureBrain,"undetected","unrated"
Spam404,"undetected","unrated"
CRDF,"undetected","unrated"
Fortinet,"undetected","unrated"
alphaMountain.ai,"undetected","unrated"
Lionic,"undetected","unrated"
Cyble,"undetected","unrated"
Seclookup,"undetected","unrated"
Xcitium Verdict Cloud,"undetected","unrated"
Google Safebrowsing,"undetected","unrated"
SafeToOpen,"undetected","unrated"
ArcSight Threat Intelligence,"undetected","unrated"
Cyan,"undetected","unrated"
Juniper Networks,"undetected","unrated"
Heimdal Security,"undetected","unrated"
AutoShun,"undetected","unrated"
Trustwave,"undetected","unrated"
AICC (MONITORAPP),"undetected","unrated"
CyRadar,"undetected","unrated"
Dr.Web,"undetected","unrated"
Emsisoft,"undetected","unrated"
Abusix,"undetected","unrated"
Webroot,"undetected","unrated"
Avira,"undetected","unrated"
securolytics,"undetected","unrated"
Antiy-AVL,"undetected","unrated"
AlphaSOC,"undetected","unrated"
Acronis,"undetected","unrated"
Quick Heal,"undetected","unrated"
URLQuery,"undetected","unrated"
Viettel Threat Intelligence,"undetected","unrated"
DNS8,"undetected","unrated"
benkow.cc,"undetected","unrated"
EmergingThreats,"undetected","unrated"
Chong Lua Dao,"undetected","unrated"
Yandex Safebrowsing,"undetected","unrated"
Lumu,"undetected","unrated"
zvelo,"undetected","unrated"
Kaspersky,"undetected","unrated"
Segasec,"undetected","unrated"
Sucuri SiteCheck,"undetected","unrated"
desenmascara.me,"undetected","unrated"
CrowdSec,"undetected","unrated"
Cluster25,"undetected","unrated"
SOCRadar,"undetected","unrated"
URLhaus,"undetected","unrated"
PREBYTES,"undetected","unrated"
StopForumSpam,"undetected","unrated"
Blueliv,"undetected","unrated"
Netcraft,"undetected","unrated"
ZeroCERT,"undetected","unrated"
Phishing Database,"undetected","unrated"
MalwarePatrol,"undetected","unrated"
IPsum,"undetected","unrated"
Malwared,"undetected","unrated"
BitDefender,"undetected","unrated"
GreenSnow,"undetected","unrated"
G-Data,"undetected","unrated"
VIPRE,"undetected","unrated"
SCUMWARE.org,"undetected","unrated"
PhishFort,"undetected","unrated"
malwares.com URL checker,"undetected","unrated"
Forcepoint ThreatSeeker,"undetected","unrated"
Criminal IP,"undetected","unrated"
Certego,"undetected","unrated"
ESET,"undetected","unrated"
Threatsourcing,"undetected","unrated"
ThreatHive,"undetected","unrated"
Bfore.Ai PreCrime,"undetected","unrated"
