tool_name,category,result
Bkav,"undetected","unrated"
CMC Threat Intelligence,"harmless","clean"
Snort IP sample list,"harmless","clean"
VX Vault,"harmless","clean"
ViriBack,"harmless","clean"
PhishLabs,"undetected","unrated"
K7AntiVirus,"harmless","clean"
CINS Army,"harmless","clean"
Quttera,"harmless","clean"
BlockList,"harmless","clean"
PrecisionSec,"undetected","unrated"
OpenPhish,"harmless","clean"
0xSI_f33d,"undetected","unrated"
Feodo Tracker,"harmless","clean"
ArcSight Threat Intelligence,"undetected","unrated"
Scantitan,"harmless","clean"
AlienVault,"harmless","clean"
Sophos,"suspicious","spam"
Phishtank,"harmless","clean"
Cyan,"undetected","unrated"
Spam404,"harmless","clean"
SecureBrain,"harmless","clean"
CRDF,"harmless","clean"
Rising,"harmless","clean"
Fortinet,"harmless","clean"
alphaMountain.ai,"harmless","clean"
Lionic,"harmless","clean"
Cyble,"harmless","clean"
Seclookup,"harmless","clean"
Xcitium Verdict Cloud,"undetected","unrated"
Artists Against 419,"harmless","clean"
Google Safebrowsing,"malicious","phishing"
SafeToOpen,"undetected","unrated"
ADMINUSLabs,"harmless","clean"
ESTsecurity,"harmless","clean"
Juniper Networks,"harmless","clean"
Heimdal Security,"harmless","clean"
AutoShun,"undetected","unrated"
Trustwave,"malicious","phishing"
AICC (MONITORAPP),"harmless","clean"
CyRadar,"harmless","clean"
Dr.Web,"harmless","clean"
Emsisoft,"malicious","phishing"
Abusix,"harmless","clean"
Webroot,"malicious","malicious"
Avira,"harmless","clean"
securolytics,"harmless","clean"
Antiy-AVL,"harmless","clean"
AlphaSOC,"undetected","unrated"
Acronis,"harmless","clean"
Quick Heal,"harmless","clean"
URLQuery,"undetected","unrated"
Viettel Threat Intelligence,"harmless","clean"
DNS8,"harmless","clean"
benkow.cc,"harmless","clean"
EmergingThreats,"harmless","clean"
Chong Lua Dao,"harmless","clean"
Yandex Safebrowsing,"harmless","clean"
Lumu,"undetected","unrated"
Kaspersky,"malicious","phishing"
Sucuri SiteCheck,"harmless","clean"
desenmascara.me,"harmless","clean"
CrowdSec,"undetected","unrated"
Cluster25,"undetected","unrated"
SOCRadar,"undetected","unrated"
URLhaus,"harmless","clean"
PREBYTES,"harmless","clean"
StopForumSpam,"harmless","clean"
Blueliv,"harmless","clean"
Netcraft,"malicious","malicious"
ZeroCERT,"harmless","clean"
Phishing Database,"harmless","clean"
MalwarePatrol,"harmless","clean"
Sangfor,"harmless","clean"
IPsum,"harmless","clean"
Malwared,"harmless","clean"
BitDefender,"harmless","clean"
GreenSnow,"harmless","clean"
G-Data,"malicious","phishing"
VIPRE,"undetected","unrated"
SCUMWARE.org,"harmless","clean"
PhishFort,"undetected","unrated"
malwares.com URL checker,"harmless","clean"
Forcepoint ThreatSeeker,"harmless","clean"
Criminal IP,"undetected","unrated"
Certego,"harmless","clean"
ESET,"malicious","phishing"
Threatsourcing,"harmless","clean"
ThreatHive,"harmless","clean"
Bfore.Ai PreCrime,"harmless","clean"
